module                                              classDoc        propDoc           uxStrings[de] 
--------------------------------------------------  --------------  ----------------  --------------
gws                                                  95.3% (81/85)   36.0% (179/497)   82.4% (70/85)
gws.base.action.cli                                   0.0% (0/2)      0.0% (0/2)        0.0% (0/2)  
gws.base.application.core                           100.0% (2/2)    100.0% (23/23)     50.0% (1/2)  
gws.base.auth.cli                                     0.0% (0/2)    100.0% (3/3)      100.0% (2/2)  
gws.base.auth.manager                               100.0% (1/1)    100.0% (4/4)      100.0% (1/1)  
gws.base.auth.method                                100.0% (1/1)    100.0% (2/2)      100.0% (1/1)  
gws.base.auth.mfa                                   100.0% (2/2)    100.0% (10/10)    100.0% (2/2)  
gws.base.auth.provider                              100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.base.auth.session_manager                       100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.base.auth.sql_provider                          100.0% (1/1)    100.0% (3/3)      100.0% (1/1)  
gws.base.client.core                                 50.0% (2/4)     72.7% (8/11)      50.0% (2/4)  
gws.base.database.layer                             100.0% (1/1)    100.0% (2/2)      100.0% (1/1)  
gws.base.database.manager                           100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.base.database.model                             100.0% (1/1)    100.0% (3/3)      100.0% (1/1)  
gws.base.database.provider                          100.0% (1/1)    100.0% (3/3)      100.0% (1/1)  
gws.base.edit                                          -            100.0% (2/2)         -          
gws.base.edit.action                                 33.3% (1/3)       -               33.3% (1/3)  
gws.base.edit.api                                     0.0% (0/7)      0.0% (0/20)       0.0% (0/7)  
gws.base.edit.helper                                  0.0% (0/1)       -                0.0% (0/1)  
gws.base.exporter                                      -            100.0% (2/2)         -          
gws.base.exporter.action                             25.0% (1/4)    100.0% (3/3)       50.0% (2/4)  
gws.base.exporter.core                              100.0% (2/2)    100.0% (6/6)       50.0% (1/2)  
gws.base.layer                                         -            100.0% (2/2)         -          
gws.base.layer.core                                  71.4% (5/7)     66.1% (41/62)    100.0% (7/7)  
gws.base.layer.group                                 33.3% (1/3)     50.0% (1/2)      100.0% (3/3)  
gws.base.layer.ows                                  100.0% (1/1)    100.0% (7/7)      100.0% (1/1)  
gws.base.layer.tree                                 100.0% (2/2)    100.0% (6/6)      100.0% (2/2)  
gws.base.legend.core                                100.0% (1/1)    100.0% (2/2)        0.0% (0/1)  
gws.base.map                                           -            100.0% (4/4)         -          
gws.base.map.action                                  12.5% (1/8)      0.0% (0/20)     100.0% (8/8)  
gws.base.map.core                                    33.3% (1/3)     47.4% (9/19)     100.0% (3/3)  
gws.base.metadata.core                              100.0% (3/3)     52.4% (43/82)    100.0% (3/3)  
gws.base.model                                         -            100.0% (1/1)         -          
gws.base.model.core                                  75.0% (3/4)     45.5% (15/33)     75.0% (3/4)  
gws.base.model.default_model                         50.0% (1/2)       -               50.0% (1/2)  
gws.base.model.field                                 50.0% (1/2)     55.6% (10/18)     50.0% (1/2)  
gws.base.model.scalar_field                         100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.base.model.validator                            100.0% (1/1)    100.0% (3/3)      100.0% (1/1)  
gws.base.model.value                                100.0% (1/1)    100.0% (4/4)      100.0% (1/1)  
gws.base.model.widget                                50.0% (1/2)     25.0% (1/4)       50.0% (1/2)  
gws.base.ows                                           -            100.0% (1/1)         -          
gws.base.ows.client.cli                               0.0% (0/2)    100.0% (3/3)        0.0% (0/2)  
gws.base.ows.client.provider                        100.0% (3/3)    100.0% (15/15)      0.0% (0/3)  
gws.base.ows.server.action                           25.0% (1/4)      0.0% (0/2)        0.0% (0/4)  
gws.base.ows.server.service                         100.0% (1/1)    100.0% (13/13)      0.0% (0/1)  
gws.base.printer                                       -            100.0% (4/4)         -          
gws.base.printer.action                              25.0% (1/4)    100.0% (3/3)       50.0% (2/4)  
gws.base.printer.core                                33.3% (1/3)     50.0% (4/8)       33.3% (1/3)  
gws.base.project                                       -            100.0% (4/4)         -          
gws.base.project.action                              66.7% (2/3)       -              100.0% (3/3)  
gws.base.project.core                                33.3% (1/3)     55.6% (15/27)    100.0% (3/3)  
gws.base.search                                        -            100.0% (2/2)         -          
